"행정구역별","항목",2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023
"행정구역별","항목",계,30대이하,40대,50대,60대,70대이상,계,30대이하,40대,50대,60대,70대이상,계,30대이하,40대,50대,60대,70대이상,계,30대이하,40대,50대,60대,70대이상,계,30대이하,40대,50대,60대,70대이상,계,30대이하,40대,50대,60대,70대이상
"양평군","귀농인수 (명)",101,7,15,38,31,10,146,11,26,59,40,10,130,20,9,49,44,8,173,13,20,59,61,20,154,13,15,51,66,9,120,7,7,49,45,12
"양평군","동반가구원수 (명)",53,23,5,11,9,5,57,27,7,12,8,X,148,114,4,11,15,4,83,42,X,14,21,X,52,15,5,10,18,4,39,15,X,8,10,5
"강원도","귀농가구원수 (명)",1536,311,197,556,384,88,1359,272,174,469,358,86,1324,249,154,430,400,91,1442,268,170,443,472,89,1254,191,131,380,464,88,951,131,71,294,375,80
"강원도","귀농인수 (명)",1055,96,155,448,297,59,948,88,135,380,294,51,947,78,122,349,331,67,1022,90,135,355,379,63,954,68,100,322,400,64,720,62,60,236,308,54
"강원도","동반가구원수 (명)",481,215,42,108,87,29,411,184,39,89,64,35,377,171,32,81,69,24,420,178,35,88,93,26,300,123,31,58,64,24,231,69,11,58,67,26
"춘천시","귀농가구원수 (명)",126,41,19,27,30,9,89,19,12,31,22,5,93,21,14,28,22,8,102,22,6,26,40,8,78,13,7,19,36,X,73,7,8,23,32,X
"춘천시","귀농인수 (명)",73,9,14,21,25,4,56,X,8,25,19,X,59,4,12,19,19,5,60,X,X,18,31,5,49,X,X,15,28,X,51,X,6,17,25,X
"춘천시","동반가구원수 (명)",53,32,5,6,5,5,33,16,4,6,X,4,34,17,X,9,X,X,42,19,X,8,9,X,29,11,5,4,8,X,22,6,X,6,7,X
"원주시","귀농가구원수 (명)",141,37,20,47,25,12,166,50,19,46,42,9,147,48,22,50,22,5,143,42,15,44,36,6,138,29,18,40,40,11,102,24,8,28,37,5
"원주시","귀농인수 (명)",91,11,13,38,20,9,95,11,12,35,34,X,79,9,13,36,18,X,84,10,11,29,29,5,90,6,10,33,34,7,67,8,5,24,25,5
"원주시","동반가구원수 (명)",50,26,7,9,5,X,71,39,7,11,8,6,68,39,9,14,4,X,59,32,4,15,7,X,48,23,8,7,6,4,35,16,X,4,12,0
