"행정구역별","항목",2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023
"행정구역별","항목",계,30대이하,40대,50대,60대,70대이상,계,30대이하,40대,50대,60대,70대이상,계,30대이하,40대,50대,60대,70대이상,계,30대이하,40대,50대,60대,70대이상,계,30대이하,40대,50대,60대,70대이상,계,30대이하,40대,50대,60대,70대이상
"장흥군","귀농가구원수 (명)",114,33,23,29,22,7,119,35,13,32,30,9,125,20,21,39,36,9,114,15,17,36,37,9,82,14,12,22,23,11,82,6,5,28,39,4
"장흥군","귀농인수 (명)",78,12,19,25,19,X,80,9,12,25,26,8,103,13,16,36,30,8,90,9,14,30,30,7,71,13,10,19,20,9,66,4,5,20,33,4
"장흥군","동반가구원수 (명)",36,21,4,4,X,4,39,26,X,7,4,X,22,7,5,X,6,X,24,6,X,6,7,X,11,X,X,X,X,X,16,X,0,8,6,0
"강진군","귀농가구원수 (명)",155,46,23,40,41,5,136,30,8,40,45,13,137,20,23,41,39,14,133,24,20,37,46,6,80,9,17,22,29,X,93,9,12,30,35,7
"강진군","귀농인수 (명)",98,14,19,29,31,5,96,10,6,31,40,9,107,5,21,33,37,11,98,6,17,32,39,4,65,4,16,17,25,X,77,5,11,25,29,7
"강진군","동반가구원수 (명)",57,32,4,11,10,0,40,20,X,9,5,4,30,15,X,8,X,X,35,18,X,5,7,X,15,5,X,5,4,0,16,4,X,5,6,0
"해남군","귀농가구원수 (명)",189,35,29,60,49,16,167,42,30,49,34,12,186,50,30,47,43,16,187,39,24,52,64,8,200,35,33,57,64,11,151,34,25,41,41,10
"해남군","귀농인수 (명)",130,13,23,49,34,11,132,26,25,40,30,11,140,26,26,39,35,14,149,19,22,49,51,8,158,19,28,50,54,7,118,15,21,35,37,10
"해남군","동반가구원수 (명)",59,22,6,11,15,5,35,16,5,9,4,X,46,24,4,8,8,X,38,20,X,X,13,0,42,16,5,7,10,4,33,19,4,6,4,0
"영암군","귀농가구원수 (명)",163,47,32,40,36,8,166,42,22,62,28,12,170,40,32,45,41,12,171,41,17,45,50,18,155,29,18,42,54,12,114,21,21,27,34,11
"영암군","귀농인수 (명)",109,15,26,33,28,7,119,16,20,50,23,10,133,21,28,41,36,7,137,26,15,41,43,12,116,13,14,35,44,10,98,16,20,22,30,10
"영암군","동반가구원수 (명)",54,32,6,7,8,X,47,26,X,12,5,X,37,19,4,4,5,5,34,15,X,4,7,6,39,16,4,7,10,X,16,5,X,5,4,X
"무안군","귀농가구원수 (명)",166,56,22,50,31,7,135,37,22,34,31,11,244,93,40,55,42,14,269,85,43,67,63,11,139,35,27,26,37,14,118,27,14,30,37,10
"무안군","귀농인수 (명)",119,23,17,47,26,6,93,13,19,29,23,9,154,32,31,46,36,9,173,23,34,55,50,11,97,14,22,19,32,10,98,18,14,28,30,8
"무안군","동반가구원수 (명)",47,33,5,X,5,X,42,24,X,5,8,X,90,61,9,9,6,5,96,62,9,12,13,0,42,21,5,7,5,4,20,9,0,X,7,X
"함평군","귀농가구원수 (명)",168,38,27,56,43,4,147,18,13,53,45,18,144,16,26,39,49,14,183,30,14,54,65,20,107,13,12,36,40,6,116,12,15,34,43,12
"함평군","귀농인수 (명)",120,10,25,47,36,X,121,11,10,47,39,14,120,9,22,34,44,11,148,16,13,48,56,15,93,6,12,31,38,6,97,7,11,29,39,11
"함평군","동반가구원수 (명)",48,28,X,9,7,X,26,7,X,6,6,4,24,7,4,5,5,X,35,14,X,6,9,5,14,7,0,5,X,0,19,5,4,5,4,X
"영광군","귀농가구원수 (명)",102,27,14,25,28,8,131,31,23,43,31,X,135,31,18,33,40,13,115,24,17,30,37,7,86,11,16,28,28,X,102,24,14,32,26,6
"영광군","귀농인수 (명)",66,8,11,19,22,6,91,11,18,34,25,X,98,12,17,29,30,10,89,11,16,26,30,6,68,5,13,23,24,X,80,13,12,27,23,5
"영광군","동반가구원수 (명)",36,19,X,6,6,X,40,20,5,9,6,0,37,19,X,4,10,X,26,13,X,4,7,X,18,6,X,5,4,0,22,11,X,5,X,X
"장성군","귀농가구원수 (명)",180,37,38,57,38,10,149,29,22,54,32,12,150,24,25,65,33,X,170,32,21,52,51,14,145,24,24,45,43,9,112,11,16,41,37,7
"장성군","귀농인수 (명)",128,9,31,49,32,7,107,6,17,47,29,8,125,15,20,58,29,X,132,13,19,45,43,12,119,16,22,37,36,8,90,6,15,35,29,5
"장성군","동반가구원수 (명)",52,28,7,8,6,X,42,23,5,7,X,4,25,9,5,7,4,0,38,19,X,7,8,X,26,8,X,8,7,X,22,5,X,6,8,X
"완도군","귀농가구원수 (명)",79,20,12,23,21,X,68,17,9,18,19,5,72,13,10,18,23,8,89,13,13,32,24,7,60,9,7,17,24,X,51,7,6,12,21,5
"완도군","귀농인수 (명)",51,8,7,17,17,X,49,6,8,14,16,5,53,X,9,17,18,6,66,5,9,28,19,5,49,4,6,14,23,X,45,5,6,12,20,X
"완도군","동반가구원수 (명)",28,12,5,6,4,X,19,11,X,4,X,0,19,10,X,X,5,X,23,8,4,4,5,X,11,5,X,X,X,X,6,X,0,0,X,X
"진도군","귀농가구원수 (명)",110,37,16,31,26,0,67,13,10,22,16,6,98,22,15,36,20,5,108,22,14,29,39,4,79,16,10,20,24,9,58,6,10,17,18,7
"진도군","귀농인수 (명)",72,13,12,26,21,0,48,6,10,15,13,4,72,10,14,27,17,4,72,4,11,25,30,X,54,X,7,16,21,7,46,X,9,13,16,5
"진도군","동반가구원수 (명)",38,24,4,5,5,0,19,7,0,7,X,X,26,12,X,9,X,X,36,18,X,4,9,X,25,13,X,4,X,X,12,X,X,4,X,X
"신안군","귀농가구원수 (명)",133,26,21,46,29,11,138,28,21,42,40,7,128,25,22,40,28,13,175,22,15,69,52,17,119,13,15,36,45,10,136,22,20,50,38,6
"신안군","귀농인수 (명)",96,11,18,32,25,10,95,9,17,35,29,5,94,9,18,34,21,12,137,11,13,57,44,12,99,8,13,30,40,8,105,10,17,43,30,5
"신안군","동반가구원수 (명)",37,15,X,14,4,X,43,19,4,7,11,X,34,16,4,6,7,X,38,11,X,12,8,5,20,5,X,6,5,X,31,12,X,7,8,X
"경상북도","귀농가구원수 (명)",3205,693,454,1088,764,206,3036,595,398,1084,777,182,3135,567,380,1043,901,244,3654,659,420,1124,1237,214,3317,518,331,997,1199,272,2451,392,263,711,875,210
"경상북도","귀농인수 (명)",2196,242,345,833,637,139,2156,205,317,858,646,130,2252,187,292,839,751,183,2726,269,346,886,1060,165,2579,243,277,814,1025,220,1950,203,231,589,753,174
"경상북도","동반가구원수 (명)",1009,451,109,255,127,67,880,390,81,226,131,52,883,380,88,204,150,61,928,390,74,238,177,49,738,275,54,183,174,52,501,189,32,122,122,36
"포항시","귀농가구원수 (명)",134,40,15,46,24,9,140,46,28,33,26,7,126,25,19,34,34,14,171,38,24,46,54,9,157,28,17,55,45,12,130,35,10,38,36,11
"포항시","귀농인수 (명)",86,10,12,34,23,7,90,12,23,27,24,4,87,6,11,28,30,12,110,7,15,36,46,6,104,7,15,41,34,7,94,15,9,30,30,10
"포항시","동반가구원수 (명)",48,30,X,12,X,X,50,34,5,6,X,X,39,19,8,6,4,X,61,31,9,10,8,X,53,21,X,14,11,5,36,20,X,8,6,X
"경주시","귀농가구원수 (명)",189,55,24,53,43,14,191,62,18,55,41,15,152,31,21,50,40,10,178,36,14,70,51,7,143,17,9,40,70,7,121,18,15,30,43,15
"경주시","귀농인수 (명)",121,15,19,39,37,11,115,13,15,40,37,10,101,7,14,38,34,8,126,13,11,48,48,6,118,11,8,35,57,7,94,9,9,26,37,13
"경주시","동반가구원수 (명)",68,40,5,14,6,X,76,49,X,15,4,5,51,24,7,12,6,X,52,23,X,22,X,X,25,6,X,5,13,0,27,9,6,4,6,X
"김천시","귀농가구원수 (명)",178,33,31,74,31,9,219,42,37,78,50,12,238,46,44,73,62,13,263,70,35,73,74,11,266,46,33,85,83,19,173,29,23,45,54,22
"김천시","귀농인수 (명)",126,13,22,59,27,5,139,10,26,56,38,9,157,9,28,59,51,10,173,20,28,56,60,9,193,22,28,61,70,12,130,11,20,36,46,17
"김천시","동반가구원수 (명)",52,20,9,15,4,4,80,32,11,22,12,X,81,37,16,14,11,X,90,50,7,17,14,X,73,24,5,24,13,7,43,18,X,9,8,5
"안동시","귀농가구원수 (명)",164,36,29,47,44,8,171,33,20,61,54,X,220,48,19,64,61,28,214,33,16,72,79,14,189,30,14,50,78,17,128,19,16,30,53,10
"안동시","귀농인수 (명)",119,15,22,37,39,6,130,12,16,51,48,X,146,16,12,47,53,18,166,15,13,59,67,12,149,11,13,44,66,15,108,13,12,28,47,8
"안동시","동반가구원수 (명)",45,21,7,10,5,X,41,21,4,10,6,0,74,32,7,17,8,10,48,18,X,13,12,X,40,19,X,6,12,X,20,6,4,X,6,X
"구미시","귀농가구원수 (명)",125,54,18,28,20,5,128,42,19,35,29,X,92,21,12,31,22,6,131,42,20,27,39,X,125,38,18,35,27,7,72,13,5,28,19,7
"구미시","귀농인수 (명)",77,21,13,20,19,4,87,18,15,27,25,X,66,9,10,26,17,4,89,17,13,24,33,X,85,18,11,27,24,5,57,9,5,22,18,X
"구미시","동반가구원수 (명)",48,33,5,8,X,X,41,24,4,8,4,X,26,12,X,5,5,X,42,25,7,X,6,X,40,20,7,8,X,X,15,4,0,6,X,4
"영주시","귀농가구원수 (명)",127,27,16,46,30,8,104,16,11,36,31,10,120,28,13,43,29,7,145,30,17,43,46,9,148,24,16,53,50,5,68,13,X,18,24,10
"영주시","귀농인수 (명)",76,8,12,29,25,X,81,6,10,30,27,8,80,9,11,30,24,6,104,14,13,33,37,7,107,10,11,40,41,5,52,6,X,15,20,8
"영주시","동반가구원수 (명)",51,19,4,17,5,6,23,10,X,6,4,X,40,19,X,13,5,X,41,16,4,10,9,X,41,14,5,13,9,0,16,7,0,X,4,X
"영천시","귀농가구원수 (명)",215,32,30,84,55,14,213,43,29,72,52,17,189,26,24,73,51,15,224,27,32,72,80,13,221,31,28,58,83,21,188,31,25,54,66,12
"영천시","귀농인수 (명)",160,14,29,62,48,7,156,15,26,54,45,16,149,14,22,60,42,11,182,13,29,61,68,11,180,15,26,53,69,17,159,21,23,43,60,12
"영천시","동반가구원수 (명)",55,18,X,22,7,7,57,28,X,18,7,X,40,12,X,13,9,4,42,14,X,11,12,X,41,16,X,5,14,4,29,10,X,11,6,0
"상주시","귀농가구원수 (명)",223,48,30,84,47,14,232,34,31,86,63,18,268,49,39,90,60,30,282,48,36,93,93,12,280,56,27,74,95,28,205,39,25,53,71,17
"상주시","귀농인수 (명)",168,26,27,67,38,10,171,18,24,68,48,13,185,15,33,66,52,19,212,24,27,74,79,8,212,27,24,63,76,22,167,21,24,47,60,15
"상주시","동반가구원수 (명)",55,22,X,17,9,4,61,16,7,18,15,5,83,34,6,24,8,11,70,24,9,19,14,4,68,29,X,11,19,6,38,18,X,6,11,X
"문경시","귀농가구원수 (명)",133,26,17,45,39,6,125,23,13,62,22,5,152,23,22,51,49,7,218,34,29,74,67,14,182,20,14,57,77,14,133,15,10,42,59,7
"문경시","귀농인수 (명)",88,7,15,32,31,X,82,5,11,44,20,X,116,10,19,42,40,5,161,8,27,56,57,13,137,6,11,44,64,12,104,11,8,31,48,6
"문경시","동반가구원수 (명)",45,19,X,13,8,X,43,18,X,18,X,X,36,13,X,9,9,X,57,26,X,18,10,X,45,14,X,13,13,X,29,4,X,11,11,X
"경산시","귀농가구원수 (명)",116,41,15,42,12,6,78,16,11,26,21,4,97,16,16,30,23,12,119,37,14,38,25,5,120,29,18,33,32,8,69,15,12,16,22,4
"경산시","귀농인수 (명)",74,15,11,34,9,5,60,8,9,21,19,X,71,5,15,25,17,9,89,20,13,31,22,X,87,16,13,29,25,4,51,5,9,14,20,X
"경산시","동반가구원수 (명)",42,26,4,8,X,X,18,8,X,5,X,X,26,11,X,5,6,X,30,17,X,7,X,X,33,13,5,4,7,4,18,10,X,X,X,X
"군위군","귀농가구원수 (명)",154,27,19,51,45,12,92,6,7,51,24,4,104,16,8,36,36,8,136,19,12,41,54,10,145,15,8,49,65,8,-,-,-,-,-,-
"군위군","귀농인수 (명)",106,7,12,43,37,7,75,X,6,46,20,X,84,5,7,32,34,6,110,10,11,33,49,7,121,9,8,38,59,7,-,-,-,-,-,-
"군위군","동반가구원수 (명)",48,20,7,8,8,5,17,5,X,5,4,X,20,11,X,4,X,X,26,9,X,8,5,X,24,6,0,11,6,X,-,-,-,-,-,-
"의성군","귀농가구원수 (명)",266,55,35,82,73,21,260,52,24,96,75,13,277,39,19,98,100,21,292,40,23,101,111,17,259,27,25,84,97,26,262,31,22,79,115,15
"의성군","귀농인수 (명)",172,17,22,62,56,15,173,19,15,73,58,8,213,17,15,83,81,17,229,21,21,76,97,14,213,15,23,67,87,21,202,11,21,63,96,11
"의성군","동반가구원수 (명)",94,38,13,20,17,6,87,33,9,23,17,5,64,22,4,15,19,4,63,19,X,25,14,X,46,12,X,17,10,5,60,20,X,16,19,4
"청송군","귀농가구원수 (명)",137,20,25,54,31,7,139,17,21,60,34,7,143,27,14,49,43,10,152,24,15,49,55,9,120,9,11,38,47,15,102,15,11,32,35,9
"청송군","귀농인수 (명)",103,7,22,41,27,6,110,8,18,49,31,4,107,11,10,40,37,9,113,12,11,40,44,6,102,6,11,32,42,11,82,10,10,27,28,7
"청송군","동반가구원수 (명)",34,13,X,13,4,X,29,9,X,11,X,X,36,16,4,9,6,X,39,12,4,9,11,X,18,X,0,6,5,4,20,5,X,5,7,X
"영양군","귀농가구원수 (명)",73,11,9,26,23,4,56,6,7,25,13,5,83,12,11,30,27,X,95,11,13,28,37,6,65,11,8,17,23,6,50,X,9,23,17,0
"영양군","귀농인수 (명)",57,7,6,21,20,X,42,X,6,20,10,X,57,X,8,24,21,X,75,4,11,24,32,4,48,X,7,13,21,5,40,X,8,15,16,0
"영양군","동반가구원수 (명)",16,4,X,5,X,X,14,X,X,5,X,X,26,11,X,6,6,0,20,7,X,4,5,X,17,9,X,4,X,X,10,0,X,8,X,0
"영덕군","귀농가구원수 (명)",75,14,9,19,29,4,79,15,10,26,20,8,65,9,7,25,19,5,86,7,13,28,35,X,60,8,10,19,20,X,63,6,7,16,26,8
"영덕군","귀농인수 (명)",52,4,5,15,25,X,59,6,8,22,17,6,52,X,5,23,17,5,72,4,10,24,32,X,49,X,8,18,18,X,52,X,6,14,22,7
"영덕군","동반가구원수 (명)",23,10,4,4,4,X,20,9,X,4,X,X,13,7,X,X,X,0,14,X,X,4,X,X,11,6,X,X,X,0,11,X,X,X,4,X
"청도군","귀농가구원수 (명)",158,22,20,60,41,15,184,51,17,58,48,10,147,24,15,44,52,12,168,20,12,55,66,15,158,26,15,52,51,14,135,18,9,42,54,12
"청도군","귀농인수 (명)",109,5,16,45,34,9,122,16,16,45,38,7,106,7,10,36,44,9,135,11,12,41,58,13,131,10,12,45,50,14,108,7,7,36,47,11
"청도군","동반가구원수 (명)",49,17,4,15,7,6,62,35,X,13,10,X,41,17,5,8,8,X,33,9,0,14,8,X,27,16,X,7,X,0,27,11,X,6,7,X
"고령군","귀농가구원수 (명)",64,7,14,25,15,X,78,13,16,25,18,6,50,8,10,22,9,X,67,11,5,14,34,X,68,9,5,21,25,8,73,14,11,22,18,8
"고령군","귀농인수 (명)",46,X,7,21,13,X,55,X,10,22,14,6,36,X,7,19,7,X,53,X,5,13,29,X,56,6,5,18,20,7,69,12,11,21,17,8
"고령군","동반가구원수 (명)",18,4,7,4,X,X,23,10,6,X,4,0,14,6,X,X,X,0,14,8,0,X,5,0,12,X,0,X,5,X,4,X,0,X,X,0
"성주군","귀농가구원수 (명)",169,39,28,51,44,7,151,21,26,51,44,9,142,41,22,40,33,6,180,27,27,63,52,11,153,26,19,38,61,9,115,24,17,32,32,10
"성주군","귀농인수 (명)",125,16,23,42,39,5,112,7,21,44,36,4,97,13,18,34,30,X,148,14,25,55,48,6,126,18,15,34,51,8,93,13,17,28,27,8
"성주군","동반가구원수 (명)",44,23,5,9,5,X,39,14,5,7,8,5,45,28,4,6,X,4,32,13,X,8,4,5,27,8,4,4,10,X,22,11,0,4,5,X
"칠곡군","귀농가구원수 (명)",83,23,15,21,17,7,62,13,6,22,19,X,62,16,6,19,18,X,101,33,16,23,26,X,65,16,4,20,17,8,45,5,0,22,13,5
"칠곡군","귀농인수 (명)",49,4,10,18,11,6,49,9,4,19,15,X,50,10,6,15,16,X,65,11,11,19,21,X,51,9,X,17,15,7,31,X,0,14,12,X
"칠곡군","동반가구원수 (명)",34,19,5,X,6,X,13,4,X,X,4,0,12,6,0,4,X,0,36,22,5,4,5,0,14,7,X,X,X,X,14,X,0,8,X,X
"예천군","귀농가구원수 (명)",198,40,31,61,46,20,153,26,27,49,41,10,215,36,15,68,78,18,223,53,25,38,83,24,184,33,17,48,70,16,143,26,13,39,48,17
"예천군","귀농인수 (명)",142,19,23,49,37,14,112,9,22,41,33,7,151,10,12,53,63,13,153,16,20,29,70,18,146,14,14,40,66,12,117,12,12,35,43,15
"예천군","동반가구원수 (명)",56,21,8,12,9,6,41,17,5,8,8,X,64,26,X,15,15,5,70,37,5,9,13,6,38,19,X,8,4,4,26,14,X,4,5,X
"봉화군","귀농가구원수 (명)",151,23,14,66,40,8,134,12,17,56,43,6,139,16,20,60,37,6,152,17,17,55,55,8,146,14,14,47,55,16,112,14,10,35,46,7
"봉화군","귀농인수 (명)",95,4,9,46,32,4,101,5,13,43,35,5,104,4,16,50,29,5,117,10,16,40,46,5,112,7,10,36,45,14,91,7,9,31,39,5
"봉화군","동반가구원수 (명)",56,19,5,20,8,4,33,7,4,13,8,X,35,12,4,10,8,X,35,7,X,15,9,X,34,7,4,11,10,X,21,7,X,4,7,X
"울진군","귀농가구원수 (명)",61,19,8,20,12,X,41,6,X,15,9,8,52,10,4,12,17,9,50,X,4,18,19,7,47,5,X,16,21,4,53,10,7,11,22,X
"울진군","귀농인수 (명)",37,5,6,16,8,X,31,X,X,12,8,6,35,5,X,8,11,8,39,X,X,12,16,6,39,X,X,13,19,4,40,4,5,10,18,X
"울진군","동반가구원수 (명)",24,14,X,4,4,0,10,4,0,X,X,X,17,5,X,4,6,X,11,0,X,6,X,X,8,X,0,X,X,0,13,6,X,X,4,0
"울릉군","귀농가구원수 (명)",12,X,X,X,X,X,6,0,0,6,0,0,X,0,0,X,X,0,7,0,X,X,X,X,16,0,0,8,7,X,11,X,X,4,X,X
"울릉군","귀농인수 (명)",8,0,X,X,X,X,4,0,0,4,0,0,X,0,0,X,X,0,5,0,X,X,X,X,13,0,0,6,6,X,9,0,X,X,X,X
"울릉군","동반가구원수 (명)",4,X,0,X,X,0,X,0,0,X,0,0,0,0,0,0,0,0,X,0,0,X,X,0,X,0,0,X,X,0,X,X,0,X,0,0
"경상남도","귀농가구원수 (명)",2257,511,334,707,553,152,1945,419,224,625,559,118,1846,357,194,567,590,138,2305,445,245,665,780,170,2046,323,192,613,729,189,1555,264,152,435,572,132
"경상남도","귀농인수 (명)",1518,148,256,538,461,115,1323,118,173,485,456,91,1349,128,164,455,490,112,1699,165,193,528,671,142,1530,118,150,490,618,154,1220,129,127,366,488,110
"경상남도","동반가구원수 (명)",739,363,78,169,92,37,622,301,51,140,103,27,497,229,30,112,100,26,606,280,52,137,109,28,516,205,42,123,111,35,335,135,25,69,84,22
"창원시","귀농가구원수 (명)",89,20,11,31,23,4,77,17,15,19,19,7,73,18,8,19,24,4,86,20,7,27,29,X,93,18,9,32,23,11,54,13,4,11,25,1
"창원시","귀농인수 (명)",61,6,10,23,19,X,55,6,12,17,14,6,50,8,7,11,20,4,58,7,5,19,25,X,66,5,9,25,18,9,40,7,3,9,20,1
"창원시","동반가구원수 (명)",28,14,X,8,4,X,22,11,X,X,5,X,23,10,X,8,4,0,28,13,X,8,4,X,27,13,0,7,5,X,14,6,1,2,5,0
"진주시","귀농가구원수 (명)",130,33,25,32,27,13,118,25,13,40,32,8,124,27,15,39,35,8,156,42,20,35,44,15,129,22,14,36,42,15,75,16,11,17,24,7
"진주시","귀농인수 (명)",88,12,21,22,24,9,83,10,11,30,25,7,98,9,11,35,35,8,107,15,16,25,38,13,90,8,11,25,35,11,60,11,9,15,19,6
"진주시","동반가구원수 (명)",42,21,4,10,X,4,35,15,X,10,7,X,26,18,4,4,0,0,49,27,4,10,6,X,39,14,X,11,7,4,15,5,2,2,5,1
"통영시","귀농가구원수 (명)",57,21,7,17,8,4,46,17,9,9,9,X,32,12,4,8,6,X,35,8,5,15,7,0,35,9,5,12,7,X,25,2,2,11,9,1
"통영시","귀농인수 (명)",32,6,6,10,8,X,27,X,8,9,6,X,21,4,4,7,4,X,24,X,X,13,6,0,21,X,X,8,5,X,20,1,1,9,8,1
"통영시","동반가구원수 (명)",25,15,X,7,0,X,19,14,X,0,X,X,11,8,0,X,X,0,11,6,X,X,X,0,14,6,X,4,X,0,5,1,1,2,1,0
"사천시","귀농가구원수 (명)",99,26,21,32,16,4,82,19,11,22,27,X,61,11,7,15,18,10,89,23,9,25,27,5,64,13,7,17,20,7,75,18,10,26,11,10
"사천시","귀농인수 (명)",67,10,17,23,13,4,58,4,10,19,23,X,46,4,6,13,15,8,62,10,6,20,22,4,54,9,6,16,17,6,49,2,9,19,11,8
"사천시","동반가구원수 (명)",32,16,4,9,X,0,24,15,X,X,4,X,15,7,X,X,X,X,27,13,X,5,5,X,10,4,X,X,X,X,26,16,1,7,0,2
"김해시","귀농가구원수 (명)",93,26,6,32,24,5,75,30,5,22,14,4,70,31,8,12,17,X,61,17,8,19,12,5,66,20,10,20,12,4,52,8,4,13,18,9
"김해시","귀농인수 (명)",63,11,4,22,22,4,43,7,5,16,13,X,43,12,6,9,14,X,42,7,7,15,11,X,45,11,7,16,8,X,43,4,4,12,15,8
"김해시","동반가구원수 (명)",30,15,X,10,X,X,32,23,0,6,X,X,27,19,X,X,X,0,19,10,X,4,X,X,21,9,X,4,4,X,9,4,0,1,3,1
"밀양시","귀농가구원수 (명)",229,47,39,67,64,12,166,20,16,60,61,9,157,28,22,51,46,10,213,46,21,74,60,12,199,39,19,69,57,15,138,23,16,43,48,8
"밀양시","귀농인수 (명)",162,15,29,54,54,10,137,11,15,48,56,7,121,12,21,42,39,7,168,23,20,59,54,12,156,20,16,57,50,13,114,15,15,37,40,7
"밀양시","동반가구원수 (명)",67,32,10,13,10,X,29,9,X,12,5,X,36,16,X,9,7,X,45,23,X,15,6,0,43,19,X,12,7,X,24,8,1,6,8,1
"거제시","귀농가구원수 (명)",56,21,9,14,11,X,65,20,14,22,7,X,31,6,X,13,8,X,59,8,8,18,22,X,48,X,X,18,23,5,59,12,11,17,17,2
"거제시","귀농인수 (명)",37,7,8,10,11,X,38,5,10,15,6,X,24,X,X,10,7,X,43,X,6,14,18,X,36,0,X,13,18,4,39,2,8,14,15,0
"거제시","동반가구원수 (명)",19,14,X,4,0,0,27,15,4,7,X,0,7,X,0,X,X,0,16,5,X,4,4,X,12,X,0,5,5,X,20,10,3,3,2,2
"양산시","귀농가구원수 (명)",74,28,14,16,12,4,52,15,8,16,9,4,37,11,4,7,12,X,34,13,6,10,5,0,60,12,X,23,20,X,62,23,11,15,10,3
"양산시","귀농인수 (명)",40,5,10,12,9,4,27,X,X,12,7,X,27,X,4,7,10,X,20,4,4,8,4,0,33,X,X,14,15,X,33,7,7,10,8,1
"양산시","동반가구원수 (명)",34,23,4,4,X,0,25,13,5,4,X,X,10,8,0,0,X,0,14,9,X,X,X,0,27,11,0,9,5,X,29,16,4,5,2,2
"의령군","귀농가구원수 (명)",127,27,18,39,32,11,89,18,7,24,35,5,100,13,9,28,46,4,132,9,15,33,63,12,116,6,X,42,52,13,60,10,X,16,27,5
"의령군","귀농인수 (명)",85,7,12,31,26,9,62,4,6,18,29,5,81,7,7,25,38,4,112,7,13,26,56,10,94,X,X,34,45,12,50,7,X,12,25,5
"의령군","동반가구원수 (명)",42,20,6,8,6,X,27,14,X,6,6,0,19,6,X,X,8,0,20,X,X,7,7,X,22,4,X,8,7,X,10,X,X,4,X,0
"함안군","귀농가구원수 (명)",72,10,11,25,21,5,76,15,7,21,25,8,63,11,9,17,16,10,113,15,10,38,44,6,80,8,9,24,32,7,67,5,X,22,29,8
"함안군","귀농인수 (명)",58,4,8,23,19,4,56,5,5,18,21,7,46,X,7,14,14,8,86,5,7,32,36,6,66,X,9,21,27,6,56,X,X,20,25,6
"함안군","동반가구원수 (명)",14,6,X,X,X,X,20,10,X,X,4,X,17,8,X,X,X,X,27,10,X,6,8,0,14,5,0,X,5,X,11,X,0,X,4,X
"창녕군","귀농가구원수 (명)",204,41,33,73,43,14,233,68,21,73,62,9,168,34,23,47,46,18,187,44,29,55,47,12,170,36,12,42,67,13,113,27,8,26,43,9
"창녕군","귀농인수 (명)",130,6,24,52,38,10,132,16,15,53,43,5,114,10,21,37,35,11,127,17,23,40,39,8,124,15,11,32,54,12,87,15,7,22,35,8
"창녕군","동반가구원수 (명)",74,35,9,21,5,4,101,52,6,20,19,4,54,24,X,10,11,7,60,27,6,15,8,4,46,21,X,10,13,X,26,12,X,4,8,X
"고성군","귀농가구원수 (명)",104,16,13,29,35,11,73,12,8,28,23,X,87,14,9,26,34,4,136,27,18,35,42,14,117,16,8,25,56,12,96,13,12,34,30,7
"고성군","귀농인수 (명)",76,6,12,24,27,7,59,4,7,25,21,X,65,4,8,21,29,X,102,9,14,30,37,12,90,6,6,21,49,8,78,9,8,29,26,6
"고성군","동반가구원수 (명)",28,10,X,5,8,4,14,8,X,X,X,0,22,10,X,5,5,X,34,18,4,5,5,X,27,10,X,4,7,4,18,4,4,5,4,X
"남해군","귀농가구원수 (명)",103,17,16,31,31,8,76,18,7,20,25,6,72,19,8,22,18,5,121,24,16,28,37,16,88,9,12,25,30,12,92,9,10,28,40,5
"남해군","귀농인수 (명)",73,4,11,25,26,7,45,5,4,16,15,5,52,8,7,17,16,4,81,5,12,19,32,13,69,X,9,21,27,9,74,4,9,24,33,4
"남해군","동반가구원수 (명)",30,13,5,6,5,X,31,13,X,4,10,X,20,11,X,5,X,X,40,19,4,9,5,X,19,6,X,4,X,X,18,5,X,4,7,X
"하동군","귀농가구원수 (명)",152,20,24,44,52,12,122,18,19,45,35,5,155,32,13,66,40,4,188,42,25,48,58,15,160,29,23,41,66,X,107,23,11,24,43,6
"하동군","귀농인수 (명)",107,5,18,32,44,8,90,5,15,36,30,4,111,8,11,58,31,X,134,12,21,38,49,14,113,8,17,31,56,X,86,11,11,20,38,6
"하동군","동반가구원수 (명)",45,15,6,12,8,4,32,13,4,9,5,X,44,24,X,8,9,X,54,30,4,10,9,X,47,21,6,10,10,0,21,12,0,4,5,0
"산청군","귀농가구원수 (명)",147,36,24,47,30,10,151,30,9,56,45,11,176,30,13,55,66,12,164,24,18,63,45,14,146,23,16,48,48,11,148,25,10,29,66,18
"산청군","귀농인수 (명)",96,12,17,33,24,10,106,11,6,43,38,8,123,10,10,39,54,10,120,8,13,51,36,12,110,8,13,38,41,10,123,16,8,26,57,16
"산청군","동반가구원수 (명)",51,24,7,14,6,0,45,19,X,13,7,X,53,20,X,16,12,X,44,16,5,12,9,X,36,15,X,10,7,X,25,9,X,X,9,X
"함양군","귀농가구원수 (명)",175,34,16,69,44,12,127,14,16,49,34,14,138,20,13,49,42,14,176,21,8,53,76,18,152,19,16,54,51,12,86,7,12,28,32,7
"함양군","귀농인수 (명)",124,8,13,59,36,8,90,X,13,36,29,10,105,7,11,39,37,11,141,7,7,45,67,15,113,X,9,46,45,11,72,X,10,25,30,4
